Iteration,AverageDiscountedReturn,NumTrajs,StdReturn,LossAfter,ExplainedVariance,dLoss,MeanKL,AveragePolicyStd,Entropy,Perplexity,LossBefore,AverageReturn,MeanKLBefore,MaxReturn,MinReturn
29,-165.122788194,20,106.402703724,-0.0206695085728,0.868141314475,0.0206695085728,0.00640611570242,0.735404603908,1.11160408348,3.03922966454,5.95357096955e-18,-202.902982592,0.0,-2.99772575203,-380.452889796
30,-157.757179654,20,95.411673839,-0.0130642719726,0.875966731749,0.0130642719726,0.00851530296958,0.736491163897,1.11308049263,3.04372012507,2.49245069028e-17,-191.493610989,0.0,-8.3527742034,-367.194762797
31,-172.096796448,20,171.821338369,-0.0181697385284,0.6860580988,0.0181697385284,0.0075648695163,0.724551983425,1.09673676417,2.99437869959,2.04739003529e-16,-231.574546895,0.0,-2.32653360095,-606.865835261
32,-137.575592936,20,133.702049707,-0.0176301905201,0.355472533773,0.0176301905201,0.00914747337719,0.728229914051,1.10180006856,3.00957859881,1.75831571525e-16,-178.600289997,0.0,-2.27566864635,-650.603940674
33,-155.304294018,20,74.4726797483,-0.0208953080748,0.643960501152,0.0208953080748,0.00690683078965,0.732932202923,1.10823645923,3.02901189547,-5.12506703743e-17,-188.155967906,0.0,-116.503162069,-357.12874757
34,-134.749909802,20,95.0987162706,-0.0187490098181,0.880694746687,0.0187490098181,0.00670226871635,0.716466123455,1.08551421978,2.96096201257,8.18789480661e-19,-162.645699365,0.0,-2.09572264909,-350.249417284
35,-116.72728904,20,114.518200814,-0.0206820194893,0.472204642682,0.0206820194893,0.0069169629639,0.714882989608,1.08330213263,2.95441934568,4.16611189991e-17,-150.13859929,0.0,-1.88035441395,-510.003092424
36,-176.806937448,20,117.476572939,-0.0184888564533,0.755209622511,0.0184888564533,0.00928028632658,0.710096863315,1.07658464216,2.93463957149,-1.52829138234e-17,-226.804250821,0.0,-3.05607251449,-454.27642112
37,-168.73304303,20,108.440646062,-0.0287145168997,0.762559493899,0.0287145168997,0.00940420931912,0.705525475759,1.07012613508,2.9157472548,1.99742999918e-16,-209.731450684,0.0,-3.10061497784,-399.125550126
38,-149.742141994,20,120.722781764,-0.0233285030498,0.829512067058,0.0233285030498,0.00890703458866,0.705556555006,1.07017018532,2.91587569698,-5.42482725407e-17,-187.465233666,0.0,-3.43306167518,-397.100523293
39,-129.627873568,20,93.7880571093,-0.0268058461749,0.825639652539,0.0268058461749,0.00854500377571,0.701147191644,1.06390109303,2.89765298276,7.91033905045e-19,-154.616835293,0.0,-2.67897484362,-388.313654667
40,-175.465305393,20,163.559541979,-0.0202194751251,0.599714463242,0.0202194751251,0.00853816437173,0.707458610604,1.07286238112,2.92373638179,6.98330282489e-17,-232.979757635,0.0,-3.04467576779,-656.114894967
41,-189.80564764,20,120.32662117,-0.0151127443012,0.822971305881,0.0151127443012,0.00674497096819,0.706484701702,1.07148480247,2.91971147793,-3.81084053203e-17,-237.213621217,0.0,-119.214204175,-465.273677731
42,-160.451687351,20,152.796796179,-0.0208687174828,0.822037693424,0.0208687174828,0.00990905078808,0.703910023459,1.06783379463,2.90907102443,2.47540703213e-16,-207.514952458,0.0,-3.54469417593,-575.482637137
43,-153.377783872,20,128.4624332,-0.0240623007659,0.828436564616,0.0240623007659,0.00888266323635,0.694296994336,1.05408306892,2.86934295757,-9.83657599818e-17,-189.227134128,0.0,-2.56017751397,-462.26397396
44,-164.291162843,20,138.410413692,-0.0226786882353,0.910436738694,0.0226786882353,0.00677221241123,0.691047926739,1.04939243411,2.85591543404,-2.16840434497e-17,-204.901120952,0.0,-2.47926005169,-536.853163871
45,-202.627219315,20,158.332207517,-0.0220389202741,0.539282198486,0.0220389202741,0.00857726302663,0.680483570768,1.03398693314,2.81225578888,4.51930159961e-17,-273.637100899,0.0,-3.66525246684,-646.296704193
46,-125.031789002,20,73.6558346399,-0.0127379573461,0.506495616792,0.0127379573461,0.00787796747296,0.686869468911,1.04332752681,2.83864699036,8.84986528504e-17,-148.323806678,0.0,-2.45586925298,-282.819131327
47,-144.997201212,20,185.674895769,-0.0195585477605,0.236301864533,0.0195585477605,0.00667695062233,0.674534322904,1.02520581502,2.7876691457,-9.04970542948e-17,-199.667058107,0.0,-1.97547421935,-817.800029424
48,-163.593367441,20,134.452124268,-0.0186453781542,0.524727012226,0.0186453781542,0.00884162507316,0.666310709746,1.01293934712,2.75368316175,9.57289802983e-17,-213.701329844,0.0,-3.06242545436,-548.551214395
49,-154.272574641,20,173.520578847,-0.017069958369,0.777251060419,0.017069958369,0.00937188969596,0.665192784046,1.01126015369,2.74906307516,7.54396545233e-17,-193.016314455,0.0,-2.58617117402,-779.215997916
